,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,speechiness,duration_ms,time_signature,valence,num_bars,num_sections,num_segments
10,6YRVj7ZJyFrr6tso0QV15e,If I Should Lose You,Nina Simone,['Nina Simone'],0.224,0.122,2,-16.766,1,0.985,0.0206,0.111,0.0952,82.277,0.036,235760,4,0.0952,80,10,679
11,7unF2ARDGldwWxZWCmlwDM,"A Love Supreme, Pt. II - Resolution",John Coltrane,['John Coltrane'],0.341,0.57,8,-11.71,1,0.581,0,0.0966,0.392,89.754,0.0673,437840,4,0.392,175,12,1414
12,0m8tSPLHhjhGToD6LW0RPp,Windows,Chick Corea,['Chick Corea'],0.503,0.344,1,-19.024,1,0.673,0.381,0.096,0.468,108.489,0.0369,191933,4,0.468,84,9,789
13,4bRNH9mxHDszZGskpBFhPq,A Nightingale Sang In Berkeley Square,Stan Getz,"['Stan Getz', 'Bob Brookmeyer']",0.425,0.0429,1,-24.86,1,0.951,0.0184,0.148,0.255,96.097,0.0408,419627,4,0.255,165,21,1346
14,1cfMdMmJqBlLn4auevv0iB,The Things We Did Last Summer,Freddie Hubbard,['Freddie Hubbard'],0.308,0.114,5,-20.291,1,0.912,0.919,0.169,0.163,79.261,0.0399,439120,4,0.163,141,24,1250
15,36MLLjFug6TJYNODUVR7av,Blue Rondo à la Turk,The Dave Brubeck Quartet,['The Dave Brubeck Quartet'],0.588,0.4,7,-11.914,0,0.851,0.352,0.11,0.468,113.615,0.036,403640,4,0.468,183,20,1426
16,5vb7At47uO0yPGfmYnAHuw,'Round Midnight (feat. John Coltrane),Miles Davis,"['Miles Davis', 'John Coltrane']",0.494,0.182,10,-11.116,0,0.79,0.00036,0.129,0.21,112.689,0.0443,355333,4,0.21,167,15,963
17,3AJSnSiVDz37q85LP2Rop0,There's No Business Like Show Business,Sonny Rollins,['Sonny Rollins'],0.394,0.441,8,-14.237,1,0.692,0.0375,0.105,0.629,90.058,0.0371,378960,4,0.629,136,11,1489
18,5F8rPLt2c52p0SK7kiH26b,Crystal Silence,Chick Corea,['Chick Corea'],0.203,0.0186,9,-24.277,0,0.985,0.377,0.0728,0.0481,76.591,0.0408,415000,4,0.0481,162,19,964
19,7Kwi4xmgY4qQwOhBe0zsbh,Blues Inn - Remastered,Jackie McLean,['Jackie McLean'],0.583,0.461,5,-9.58,0,0.668,0.17,0.162,0.516,131.878,0.0482,545347,4,0.516,304,24,2030
20,4ol2UyMTiklHVujAWg02nE,I Got It Bad And That Ain't Good,Oscar Peterson Trio,['Oscar Peterson Trio'],0.488,0.0527,5,-27.331,1,0.971,0.911,0.0882,0.193,49.689,0.0478,306227,4,0.193,62,10,835
21,6TAW00MAPvS59yEoIgtOEI,All Alone,Mal Waldron,['Mal Waldron'],0.492,0.205,9,-8.488,0,0.983,0.893,0.122,0.109,128.315,0.0577,310055,4,0.109,181,17,950
22,1CDBaGlisZlOJzvx88lL8A,Song For My Father,Horace Silver,['Horace Silver'],0.742,0.671,5,-8.142,0,0.794,0.00441,0.122,0.591,127.359,0.0407,438280,4,0.591,229,18,1513
23,0iEtT7O43pat2fu6jdaCKl,Sunday,Ben Webster,"['Ben Webster', 'Oscar Peterson']",0.629,0.283,0,-17.384,0,0.816,0.000437,0.192,0.862,104.739,0.0436,237447,4,0.862,99,12,935
24,2oMaXY0yiWhAEWD7SutXh2,Joy Spring,Clifford Brown,"['Clifford Brown', 'Max Roach Quintet']",0.654,0.334,8,-12.662,1,0.702,0.714,0.114,0.697,81.544,0.0521,410667,4,0.697,139,11,1554
25,3Y0LpU5kqQ3vSZvwcGjl1M,Splanky,Count Basie,['Count Basie'],0.583,0.376,6,-10.914,1,0.725,0.251,0.0642,0.614,120.713,0.0433,217373,4,0.614,105,10,561
26,4qRJ7ZJyfzchEd2fjle7Bz,Search For Peace,McCoy Tyner,['McCoy Tyner'],0.456,0.222,0,-16.879,1,0.938,0.806,0.24,0.15,112.725,0.0354,392000,4,0.15,179,20,1205
27,7CnOzCWGrTINcDExG6u99y,Cool Struttin',Sonny Clark,['Sonny Clark'],0.58,0.48,7,-7.682,0,0.837,0.00432,0.171,0.48,108.892,0.0339,563613,4,0.48,254,23,1997
28,2C3rh8eX5vltOmwrz9I78n,Blue Monk - Rudy Van Gelder Remaster,Thelonious Monk Trio,['Thelonious Monk Trio'],0.444,0.339,3,-16.936,1,0.66,0.103,0.163,0.656,142.112,0.0418,456360,4,0.656,270,14,1641
29,21HG0QIgIcVQ2EZeXubaqL,All of You,Miles Davis,['Miles Davis'],0.631,0.261,5,-10.988,0,0.424,6.60E-05,0.184,0.58,82.425,0.0424,420693,4,0.58,142,18,1532
30,2dR5WkrpwylTuT3jRWNufa,Fly Me To The Moon - Remastered,Frank Sinatra,"['Frank Sinatra', 'Count Basie']",0.67,0.365,0,-10.158,1,0.525,0,0.0575,0.45,119.344,0.0564,147147,4,0.45,71,6,432
31,7GXOrNqnHdJasc81GlKH2D,The Awakening,Ahmad Jamal Trio,['Ahmad Jamal Trio'],0.52,0.2,1,-17.353,1,0.837,0.516,0.12,0.132,81.899,0.0357,378933,4,0.132,128,16,1127
32,3QuSHJUfvuOyeKMS32Wckj,April In Paris - 2007 Remaster/Rudy Van Gelder Edition,Thad Jones,['Thad Jones'],0.509,0.224,0,-11.123,1,0.736,0.301,0.327,0.17,112.355,0.0327,403360,4,0.17,188,15,1263
33,1cpANF6zMBoFoxkoIjZHjv,Skating In Central Park,Bill Evans,"['Bill Evans', 'Jim Hall']",0.478,0.0294,0,-25.319,1,0.993,0.948,0.105,0.148,124.308,0.0453,324200,3,0.148,221,17,707
34,78MI7mu1LV1k4IA2HzKmHe,Dream A Little Dream Of Me - Single Version,Ella Fitzgerald,"['Ella Fitzgerald', 'Louis Armstrong']",0.443,0.104,0,-17.042,1,0.913,0,0.191,0.394,76.497,0.101,185160,4,0.394,63,7,616
35,4f0D7T8yswXUJ62AKLoMtS,One For Daddy-O - Remastered,Cannonball Adderley,['Cannonball Adderley'],0.616,0.434,5,-7.257,0,0.581,0,0.131,0.404,108.467,0.031,505453,4,0.404,227,29,1665
36,0GUUhTWMylAx5pHDI42t1V,Line For Lyons,Gerry Mulligan,"['Gerry Mulligan', 'Paul Desmond Quartet']",0.543,0.133,7,-16.846,0,0.805,0.00135,0.125,0.464,171.493,0.1,188960,4,0.464,133,9,672
37,10IBJvHwySS2hN4IerZg3J,Theme for Maxine,Woody Shaw,['Woody Shaw'],0.397,0.329,5,-13.317,1,0.611,0.84,0.207,0.462,166.831,0.0398,435040,3,0.462,288,21,1608
38,5z8eOnPiOC22EYpniAX3Qg,Blue World,John Coltrane,['John Coltrane'],0.477,0.733,8,-8.301,1,0.732,0.0756,0.153,0.385,120.42,0.0682,368253,3,0.385,239,10,1184
39,2FnTwpi1PdHLjgHv4XQEFn,I'm A Fool To Want You - 2006 Digital Remaster,Donald Byrd,['Donald Byrd'],0.386,0.075,5,-14.124,0,0.985,0.904,0.0869,0.23,96.76,0.0348,372787,4,0.23,150,20,950
40,6MN6yRVriszuyAVlyF8ndB,Coffee Cold,Galt MacDermot,['Galt MacDermot'],0.685,0.472,9,-9.691,0,0.785,0.284,0.224,0.475,80.487,0.0298,205720,4,0.475,67,9,635
41,18A1V1vsy5YgHFqb4galTw,Chitlins Con Carne,Kenny Burrell,['Kenny Burrell'],0.803,0.335,8,-13.331,1,0.579,0.0128,0.0849,0.786,132.682,0.0451,330440,4,0.786,179,17,1293
42,6CDQBADsdzJwc3qZ3OPDHH,Almost Like Being In Love,Red Garland,"['Red Garland', 'Paul Chambers', 'Art Taylor']",0.561,0.346,0,-12.596,0,0.873,0.399,0.104,0.697,93.689,0.0409,290293,4,0.697,111,11,1162
43,1LGqJ3nvxpVXDWpEzq4DJD,All of Me,Billie Holiday,['Billie Holiday'],0.504,0.0644,2,-14.754,0,0.972,4.36E-06,0.174,0.403,106.994,0.0408,181440,5,0.403,80,8,536
44,5TNpCThzzXHEipXGKgNG8T,Cheek To Cheek,Ella Fitzgerald,"['Ella Fitzgerald', 'Louis Armstrong']",0.655,0.31,0,-13.4,1,0.573,0,0.119,0.665,121.999,0.0866,353267,4,0.665,180,15,1234
45,2bOUrmH6OljKtXOLjvVEU8,Never Will I Marry,Cannonball Adderley,"['Cannonball Adderley', 'Nancy Wilson', 'Sweet']",0.589,0.184,0,-12.282,1,0.631,0,0.0819,0.343,98.365,0.049,139200,4,0.343,56,8,442
46,4ow1XH4hwe3yOGXG2eTTTY,Stolen Moments,Oliver Nelson,['Oliver Nelson'],0.575,0.187,0,-13.081,0,0.927,0.876,0.166,0.342,107.469,0.0513,525613,4,0.342,233,21,1856
47,0aWMVrwxPNYkKmFthzmpRi,Blue in Green (feat. John Coltrane & Bill Evans),Miles Davis,"['Miles Davis', 'John Coltrane', 'Bill Evans']",0.421,0.0162,2,-25.358,0,0.808,0.0024,0.0978,0.154,110.479,0.0388,337733,4,0.154,177,10,717
48,1HEGcv63IZ7TPncpVKdVdN,My One And Only Love,John Coltrane,"['John Coltrane', 'Johnny Hartman']",0.466,0.0718,0,-17.999,1,0.984,0.000931,0.107,0.196,121.769,0.0375,294307,4,0.196,147,12,806
49,5f0n6K8hW2RIVXuZjxO0bu,This I Dig Of You - Remastered 1999/Rudy Van Gelder Edition,Hank Mobley,['Hank Mobley'],0.587,0.673,10,-7.858,1,0.744,0.00618,0.0721,0.788,123.407,0.0509,385867,4,0.788,197,17,1614
50,0Otf1ZfYNIjhqFIuJk0fsy,Tea for Two,Art Tatum,['Art Tatum'],0.358,0.452,1,-13.02,1,0.991,0.864,0.14,0.525,166.973,0.0347,193867,4,0.525,132,9,815
51,2n0nSu6H5KrAYRfI6iKtwT,Lazy Afternoon,Joe Henderson,['Joe Henderson'],0.286,0.0553,5,-20.216,0,0.982,0.592,0.0989,0.182,52.789,0.034,332133,4,0.182,71,14,954
52,7ysmJhXFQtiBQlk6EZ6sks,Journey Into Melody - 2007 Digital Remaster/Rudy Van Gelder Edition,Stanley Turrentine,['Stanley Turrentine'],0.505,0.159,7,-11.235,0,0.946,0.0127,0.212,0.196,59.385,0.0336,295200,4,0.196,74,13,860
53,4Vkk3iD1VrENHJEACNddvt,Moanin',Art Blakey,['Art Blakey'],0.612,0.493,5,-8.589,0,0.804,0.266,0.202,0.484,126.358,0.0467,570720,4,0.484,303,31,1966
54,4G3EKvGtqcUSZqPQIWJFxd,Gary's Theme - 2003 Remastered Version,Bill Evans,['Bill Evans'],0.421,0.08,7,-21.795,1,0.903,0.859,0.135,0.0546,122.044,0.04,257693,3,0.0546,144,14,703
55,1pZn8AX1WulW8IO338hE5D,Blue Moon,Billie Holiday,['Billie Holiday'],0.639,0.269,8,-11.435,1,0.982,0.12,0.141,0.539,124.866,0.0698,207827,4,0.539,106,9,702
56,0ADAFZE0bYIuaIyPNFl3LE,Blue Skies,Art Tatum,['Art Tatum'],0.443,0.0711,1,-20.146,1,0.989,0.894,0.101,0.596,175.02,0.0486,172293,4,0.596,122,10,604
57,4l9hml2UCnxoNI3yCdL1BW,My Funny Valentine,Chet Baker,['Chet Baker'],0.438,0.00756,0,-26.44,0,0.941,0.00643,0.109,0.277,133.32,0.0382,141133,4,0.277,77,7,312
58,57B6gMEI1E4E3kKLKvfX3U,Yams,Jackie McLean,"['Jackie McLean', 'Herbie Hancock']",0.571,0.293,0,-11.914,0,0.828,0.179,0.112,0.23,82.745,0.0385,480000,4,0.23,162,17,1351
59,2Ef24NcyyZAMngL4uQd3xC,They Can't Take That Away from Me - 2012 Remastered Version,Mel Tormé,['Mel Tormé'],0.488,0.337,5,-10.185,0,0.851,2.12E-05,0.126,0.471,133.27,0.0463,181653,4,0.471,97,12,607
60,3hY3MPL9hAITPgVfiVlL5K,Stella By Starlight,Joe Lovano,['Joe Lovano'],0.581,0.163,0,-16.612,0,0.926,0.861,0.116,0.448,88.101,0.0547,347773,4,0.448,125,14,1291
61,2F0cAwp8zmQ8McgBzjFWO0,Stars Fell On Alabama,Toots Thielemans,['Toots Thielemans'],0.514,0.409,5,-10.341,0,0.81,0.77,0.234,0.439,139.331,0.0627,193160,4,0.439,107,11,718
62,6f7r5i4xVwePkHDHwwMK75,A Day In The Life,Wes Montgomery,['Wes Montgomery'],0.476,0.251,9,-13.854,0,0.769,0.774,0.0637,0.37,98.833,0.0278,354973,4,0.37,140,8,1167
63,7yzM0pEseQUpb6BMViOPEA,Love Theme From Spartacus - Remastered,Yusef Lateef,['Yusef Lateef'],0.522,0.379,4,-14.096,0,0.635,0.925,0.114,0.454,133.698,0.0286,251600,3,0.454,183,14,873
64,09g9OlH3RDjbffMAnvBPgw,Summertime,Charlie Parker,['Charlie Parker'],0.356,0.324,7,-8.699,0,0.704,0.0025,0.204,0.438,88.861,0.0289,166133,4,0.438,59,7,539
65,6oSm3mBWFxJHEnjE2IqhmA,There Will Never Be Another You,Lester Young,"['Lester Young', 'Oscar Peterson Trio']",0.588,0.0387,0,-17.944,0,0.978,0.823,0.116,0.342,83.4,0.06,205667,4,0.342,71,10,616
66,5p95DUZplmVxY0XCQ3hxUV,I'm Old Fashioned - Remastered 2003/Rudy Van Gelder Edition,John Coltrane,['John Coltrane'],0.394,0.23,3,-10.475,1,0.931,0.497,0.0662,0.358,78.319,0.0348,477760,4,0.358,198,22,1545
67,2BhU0Hl5OatWiCW93pE2b8,Remember - Remastered,Hank Mobley,['Hank Mobley'],0.539,0.403,8,-9.168,1,0.794,0.000613,0.278,0.699,165.301,0.0531,342333,4,0.699,236,13,1255
68,38xcUjiTP1ivfb7ObwjyGA,Watermelon Man - Remastered,Herbie Hancock,['Herbie Hancock'],0.612,0.526,0,-8.558,0,0.727,0.0331,0.183,0.594,129.341,0.0272,429267,4,0.594,229,23,1526
69,1ChYuSIoOFDVY6fHSXF6zS,Questar,Keith Jarrett,"['Keith Jarrett', 'Jan Garbarek', 'Palle Danielsson', 'Jon Christensen']",0.468,0.391,2,-13.196,0,0.658,0.0617,0.111,0.342,142.413,0.0269,550493,4,0.342,326,25,1864
70,489alJQIWUauqzKTMuXRjm,Cool Out,Leroy Hutson,['Leroy Hutson'],0.453,0.367,2,-16.245,0,0.0708,0.00183,0.1,0.127,140.832,0.0343,179293,3,0.127,134,5,458
71,7DUGRxCf9NFJffb5Eei8Ar,God Bless the Child,Sonny Rollins,['Sonny Rollins'],0.493,0.0421,2,-18.071,1,0.913,0.173,0.0777,0.172,102.074,0.0347,447560,4,0.172,193,23,1122
72,4w7EnqiLksvE6rcuR8F8bn,Django - Rudy Van Gelder Edition / Remastered 1999,Grant Green,['Grant Green'],0.653,0.368,10,-11.567,0,0.875,0.00305,0.0972,0.249,117.161,0.0439,524093,4,0.249,256,23,1712
73,3Ysj0cl3Jlb6Ysp6um8QI7,Along Came Betty,Art Blakey,['Art Blakey'],0.665,0.359,1,-8.887,1,0.801,0.106,0.145,0.4,111.639,0.0326,368747,4,0.4,169,18,1246
74,0FKnknau5UBXgN2Q6vVHgC,Monticello,The Monty Alexander Trio,['The Monty Alexander Trio'],0.559,0.479,11,-18.152,0,0.678,0.861,0.215,0.485,99.782,0.0429,232378,4,0.485,95,13,1071
75,648TTtYB0bH0P8Hfy0FmkL,Unforgettable,Nat King Cole,['Nat King Cole'],0.349,0.182,5,-13.507,1,0.92,0.0152,0.143,0.178,136.094,0.031,191973,3,0.178,123,10,535
76,2JdllRPH6a8NCpt2bpxpns,Red Clay,Freddie Hubbard,['Freddie Hubbard'],0.519,0.379,9,-14.368,1,0.407,0.288,0.161,0.598,139.749,0.0353,729760,4,0.598,424,30,2925
77,6NF8MZ2trxckVBr82pyyPt,"Mercy, Mercy, Mercy",Cannonball Adderley,['Cannonball Adderley'],0.544,0.425,10,-10.231,1,0.719,0.0186,0.964,0.348,84.443,0.0346,313200,4,0.348,107,16,943
78,6MXrGG7nff0FXBQJa5UF9P,Since I Fell For You - Rudy Van Gelder Edition / 2007 / Digital Remaster,Lee Morgan,['Lee Morgan'],0.416,0.201,8,-11.461,1,0.975,0.803,0.107,0.372,165.869,0.0379,339333,3,0.372,280,13,1100
79,7z4EbJbnbvWcP9Bg15fpgC,Triste,Oscar Peterson Trio,['Oscar Peterson Trio'],0.441,0.321,10,-19.455,1,0.856,0.854,0.236,0.594,89.776,0.0324,321157,4,0.594,118,12,1377
80,0sRAziWSeUedBSKjapsy9F,The Shadow of Your Smile,Dexter Gordon,"['Dexter Gordon', 'Slide Hampton']",0.556,0.0352,7,-20.86,0,0.942,0.167,0.082,0.196,110.646,0.0419,297876,4,0.196,133,16,785
81,7yYgBAj3yaMdTgq7fIvDlQ,The Way You Look Tonight - 2003 Remastered,Paul Desmond,"['Paul Desmond', 'Gerry Mulligan']",0.703,0.187,5,-16.273,0,0.815,0.000492,0.225,0.656,126.164,0.0676,439507,4,0.656,232,19,1871
82,6ZgaUtMlUzUf7SqbUUnfbu,Blue Train - Remastered 2003,John Coltrane,['John Coltrane'],0.506,0.493,8,-7.759,1,0.798,0.00355,0.307,0.584,134.77,0.0427,644013,4,0.584,349,27,2384
83,6fBgbPzBpuBjIf4uEqAo4H,Strange Fruit,Billie Holiday,['Billie Holiday'],0.33,0.0508,11,-22.43,1,0.988,0.0922,0.147,0.054,77.018,0.033,192867,3,0.054,79,8,492
84,1czzmAtPTw287TyMQEfCfg,Ruby My Dear,Roy Hargrove,['Roy Hargrove'],0.412,0.195,8,-10.288,1,0.9,0.709,0.106,0.0778,133.918,0.0331,372493,4,0.0778,203,15,983
85,0ldmR2mJJNEoBIINfZWdv6,These Foolish Things (Remastered),Lester Young,['Lester Young'],0.593,0.103,10,-14.961,1,0.986,0.6,0.12,0.443,66.283,0.081,190933,4,0.443,51,7,634
86,0ivpUENLpheuPoa6VuY1ax,Strange Meadow Lark,The Dave Brubeck Quartet,['The Dave Brubeck Quartet'],0.53,0.143,8,-17.471,1,0.958,0.497,0.278,0.119,125.464,0.0423,442227,4,0.119,228,16,1321
87,10El9hxviSBm7pChWxG1ib,How Long Has This Been Going On,Ben Webster,"['Ben Webster', 'Harry ""Sweets"" Edison']",0.529,0.0367,0,-21.63,1,0.99,0.31,0.127,0.214,140.296,0.0515,330693,4,0.214,174,14,976
88,1iCAi2GzGYqCEm1t3Zpx8O,Summertime,Albert Ayler,['Albert Ayler'],0.446,0.191,10,-15.854,1,0.925,0.574,0.3,0.291,137.046,0.0385,527579,4,0.291,269,22,1637
89,2dPWP7FMCxnv4u9Api6WWU,Conference Of The Birds,Dave Holland Quartet,['Dave Holland Quartet'],0.392,0.168,10,-22.249,1,0.637,0.358,0.198,0.292,123.419,0.0442,277800,4,0.292,139,14,901
90,0DXb75jBHund71iIpnBBZv,On The Sunny Side Of The Street,Dizzy Gillespie,"['Dizzy Gillespie', 'Sonny Stitt', 'Sonny Rollins']",0.662,0.331,0,-12.712,1,0.532,0.000125,0.253,0.408,120.228,0.0581,340960,4,0.408,171,16,1205
91,2JOEPbuwVf0nafGnMSVEhH,My Favorite Things,John Coltrane,['John Coltrane'],0.277,0.242,4,-18.442,1,0.694,0.464,0.113,0.285,175.384,0.0342,824133,3,0.285,796,37,2739
92,4xGFcQEIjtmbPD6Jsxq14M,The Girl From Ipanema,Stan Getz,"['Stan Getz', 'João Gilberto', 'Astrud Gilberto']",0.641,0.14,8,-16.79,1,0.867,0.00166,0.105,0.388,129.318,0.039,317987,4,0.388,169,14,1087
93,5eMz1VtT2zNtsyh1bDgDhb,I Remember You,Lee Konitz,['Lee Konitz'],0.564,0.305,10,-14.224,0,0.794,0.0983,0.152,0.571,115.739,0.063,266707,4,0.571,127,14,1087
94,7f4svguucdFTOv6gOjOvhO,Tenor Madness - Rudy Van Gelder Remaster,Sonny Rollins Quartet,"['Sonny Rollins Quartet', 'John Coltrane']",0.431,0.511,0,-8.052,0,0.75,6.22E-05,0.332,0.664,174.922,0.0554,733067,4,0.664,535,32,2817
95,5z161QQZMgQxSILnv3QoJk,Lullaby Of Birdland,Sarah Vaughan,"['Sarah Vaughan', 'Clifford Brown']",0.578,0.351,11,-12.432,0,0.813,0,0.123,0.476,122.712,0.101,240867,4,0.476,120,11,866
96,4KGcpnAbGlvVgd2HFQvexI,Dolphin Dance,Ahmad Jamal Trio,['Ahmad Jamal Trio'],0.378,0.232,0,-18.05,1,0.87,0.948,0.1,0.155,148.531,0.0303,306200,4,0.155,189,16,1001
97,6yKkA8HzwWTZ5taIMaG4Nm,My Foolish Heart,Bill Evans Trio,['Bill Evans Trio'],0.395,0.121,9,-23.427,1,0.935,0.397,0.697,0.139,114.521,0.0327,297320,4,0.139,137,16,686
98,3pfbQmD5xGH9Tcc7GqGfSL,But Not For Me - Vocal Version,Chet Baker,['Chet Baker'],0.626,0.152,5,-14.182,0,0.934,6.05E-05,0.12,0.545,82.174,0.0405,184467,4,0.545,60,8,584
99,6qqK0oeBRapZn8f9hJJENw,Blue Bossa - Remastered,Joe Henderson,['Joe Henderson'],0.531,0.366,5,-11.697,0,0.911,0.88,0.0916,0.785,81.867,0.0496,482440,4,0.785,215,19,2080
100,5LlLJHFVVEmjZDvFvpbqHU,Funkier Than A Mosquito's Tweeter,Nina Simone,['Nina Simone'],0.566,0.541,8,-15.309,0,0.335,0.00869,0.702,0.776,138.556,0.0516,315267,4,0.776,182,16,1630
101,2fmXnPfzguSp3zKDibCBgv,Mister Magic,"Grover Washington, Jr.","['Grover Washington, Jr.']",0.734,0.64,5,-8.471,0,0.00606,0.37,0.0602,0.868,103.812,0.0661,541827,4,0.868,230,19,2473
102,0JRsF8dhA1REeU30rW9mKL,Deadlines,Surprise Chef,['Surprise Chef'],0.381,0.862,0,-5.297,1,0.0337,0.227,0.192,0.413,169.802,0.0685,270086,4,0.413,182,12,1091
103,7GAKkO3EXsJZvsG1racYMa,Happy 'Cause I'm Goin' Home,Charles Earland,['Charles Earland'],0.484,0.865,2,-7.866,0,0.676,0.903,0.253,0.635,167.523,0.0488,675160,4,0.635,475,27,2973
104,5nXpfnX21d3Sed5bT68wln,Funky Snakefoot,Alphonse Mouzon,['Alphonse Mouzon'],0.697,0.886,1,-9.838,1,0.13,0.639,0.0542,0.903,104.921,0.0492,225907,4,0.903,97,8,1137
105,5i3bRLDZoGrFSaGob3Pn07,Funk in the Hole,Roy Ayers,['Roy Ayers'],0.499,0.98,0,-4.818,1,0.0233,0.348,0.211,0.947,180.709,0.0569,336547,4,0.947,250,8,1621
106,1n8HIzFUOJ0nII0xka0fBs,A Message From The Inner City,The Crusaders,['The Crusaders'],0.432,0.412,2,-15.158,0,0.536,0.248,0.0804,0.573,172.472,0.0357,531533,4,0.573,379,24,1910
107,55goBag8vVmsesMxOdIe5M,Sweet Power of Your Embrace,James Mason,['James Mason'],0.6,0.792,9,-9.076,0,0.264,0.00225,0.0403,0.882,111.612,0.0376,326321,4,0.882,150,11,1470
108,5GvASApLi1c1JUz1E4tIZO,Night Flight,Mattari,['Mattari'],0.627,0.728,7,-7.79,1,0.224,0.905,0.303,0.375,79.001,0.0499,176617,4,0.375,58,10,752
109,4lvCJIy2hOB4hwkHm06xsU,Open Sesame,Beggar & Co.,"['Beggar & Co.', 'The Jazz Funk Collective']",0.61,0.927,4,-2.006,1,0.0324,0.0549,0.556,0.688,119.964,0.0664,335000,4,0.688,165,14,1329
110,1jZFZBWG6ZPtJdflNoLUVX,Crab Walk,Funkboy,"['Funkboy', 'James Dower', 'Doug Hinrichs']",0.648,0.685,0,-6.991,1,0.0134,0.262,0.0476,0.867,88.92,0.126,256320,4,0.867,94,9,1126
111,47Tt97DXVQoDJyhKTGysGl,Tongue Power,Roy Ayers Ubiquity,['Roy Ayers Ubiquity'],0.776,0.715,7,-13.893,1,0.415,0.052,0.0851,0.861,111.826,0.057,182440,4,0.861,85,9,825
112,1SqskptrodTat0yps72Xjg,Funkia,Ron Carter,"['Ron Carter', 'Mickey Roker', 'Carlos Valdes', 'Michael Longo']",0.428,0.377,7,-13.66,1,0.775,0.739,0.216,0.415,165.298,0.0319,347333,4,0.415,240,13,1272
113,4SXWXupjFY49tbQWCG5rFf,Mr. Funky samba,Banda Black Rio,['Banda Black Rio'],0.632,0.791,2,-5.509,1,0.151,0.825,0.127,0.938,101.675,0.0507,219173,4,0.938,89,11,923
114,2zQl59dZMzwhrmeSBEgiXY,Watermelon Man,Herbie Hancock,['Herbie Hancock'],0.724,0.414,1,-11.19,1,0.262,0.111,0.0785,0.719,146.939,0.0588,388960,4,0.719,238,18,1564
115,2fB7lE3uEUqXrV36jOSVYY,Little Walter Rides Again,Medeski Scofield Martin & Wood,['Medeski Scofield Martin & Wood'],0.634,0.729,8,-9.001,1,0.157,0.727,0.112,0.952,94.26,0.0419,233533,4,0.952,93,9,1088
116,2HWQmXaDJXeGror617oKgS,Broasted or Fried,Willie Bobo,['Willie Bobo'],0.684,0.806,0,-8.656,1,0.308,0.311,0.239,0.961,94.731,0.0307,235543,4,0.961,91,10,946
117,2dCXLISCbeoNM5ICcM4pnb,One In Seven,Soulive,['Soulive'],0.716,0.731,7,-5.602,1,0.0084,0.782,0.119,0.602,120.592,0.045,316493,4,0.602,159,10,1381
