,id,title,first_artist,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,speechiness,duration_ms,time_signature,valence,num_bars,num_sections,num_segments
0,3vlX5kFfQHDloPDV1cGENX,Close Your Eyes,Art Blakey & The Jazz Messengers,['Art Blakey & The Jazz Messengers'],0.565,0.222,5,-19.933,0,0.799,0.000213,0.0934,0.689,99.198,0.0646,386700,4,0.689,163,15,1505
1,2kF9Ijd7I2Kk2P4bYqUmzG,Midnight Blue - Remastered,Kenny Burrell,['Kenny Burrell'],0.652,0.356,5,-13.733,0,0.546,0.000103,0.132,0.56,148.822,0.0419,242347,4,0.56,147,14,856
2,08lUeu1CxXvAoaKkemoEk8,Over The Rainbow,Lou Donaldson,['Lou Donaldson'],0.371,0.0823,3,-20.45,1,0.963,0.49,0.0838,0.0789,106.146,0.0352,431267,4,0.0789,189,19,1220
3,4vWMrM0AwlhRlkAdQtC2zn,Softly As In A Morning Sunrise,The Modern Jazz Quartet,['The Modern Jazz Quartet'],0.634,0.327,0,-9.703,0,0.709,0.0131,0.158,0.498,80.825,0.0551,209400,4,0.498,68,10,806
4,6PKCEB5JzjCizpz9hUQcpX,It Never Entered My Mind,Coleman Hawkins,"['Coleman Hawkins', 'Ben Webster']",0.564,0.097,5,-16.442,1,0.958,0.0588,0.119,0.393,132.653,0.038,346920,4,0.393,190,15,1006
5,1YQWosTIljIvxAgHWTp7KP,Take Five,The Dave Brubeck Quartet,['The Dave Brubeck Quartet'],0.454,0.26,8,-13.193,0,0.539,0.00078,0.0675,0.598,174.322,0.0401,324133,5,0.598,210,18,1208
6,5TGGsgsY7WS5Q1w8N581wD,Bags' Groove - Rudy Van Gelder 2001 - Remaster,Milt Jackson,['Milt Jackson'],0.631,0.197,0,-15.774,0,0.886,0.000587,0.332,0.67,87.544,0.0489,185307,4,0.67,65,9,664
7,1wl5b2lw3YagQtZiYZbQWP,'Round Midnight,Thelonious Monk,['Thelonious Monk'],0.542,0.32,8,-9.975,1,0.907,0.649,0.0609,0.206,116.648,0.0387,193840,4,0.206,90,9,602
8,0MfK7lsLUvMq2CURkt61uF,My Funny Valentine,Miles Davis Quintet,['Miles Davis Quintet'],0.549,0.124,0,-13.793,0,0.938,0.00175,0.126,0.32,66.184,0.0397,360827,4,0.32,100,14,1128
9,7gHFBNy0Qn86xGKJ9OdFTw,Misty,Sarah Vaughan,['Sarah Vaughan'],0.224,0.214,2,-14.455,0,0.976,0.00094,0.367,0.14,83.906,0.0348,179373,3,0.14,94,10,536
